Europractice Photonic Integrated Circuit (PIC) Training,Technical training,Classroom Training,IC Design,Intermediate,Both,Multi day,This training aims to give a jump-start on PIC technology from a fabless manufacturing perspective by introducing PIC technology.
imec circuits & systems conference,Technical training,Classroom Training,IC Design,Intermediate,Internal only,1 day,"This off-site conference-style event exposes to the technical excellence and diversity of imec’s IC design work."
Machine Learning: Neuronal Networks and Deep Learning Systems,Technical training,Classroom Training,IC Design,High,Both,Multi day,In this machine learning course we will focus on the hardware implementation of neuronal networks and deep learning systems.
VHDL Language and design flow,Technical training,Classroom Training,IC Design,Intermediate,Both,Multi day,This 5-day course not only teaches the VHDL syntax with examples but also emphasizes good code style and the link to hardware. 
SOI Design,Technical training,Classroom Training,IC Design,Intermediate,Both,Multi day,This offers a jump start on digital and mixed analog/RF SoC designer in ST's FDSOI28 technology.
GTS TCAD Tools for Design-Technology-Co-Optimization of Logic Cells ,Technical training,Handson training,IC Design,High,Both,1 day,Learn how to use GTS tools to make the right design and technology choices for current and upcoming technology nodes.
GTS Tools in a Nutshell - Introduction to advanced TCAD for Pathfinding Applications,Technical training,Handson training,IC Design,Basic,Both,1 day,This workshop gives an introduction to the TCAD flow using GTS Framework.
Analog RF Circuit design in finfet technologies,Technical training,Seminar,IC Design,Intermediate,External only,1 day,Learn what the IC designer needs to know when designing RF applications in FINFET technologies
Essential verification with SystemVerilog and UVM ,Technical training,Handson training,IC Design,Intermediate,Both,Multi day,Learn about the benefits of the SystemVerilog constructs and features to increase your verification efficiency and productivity gain through this methodology.
Advanced verification with UVM,Technical training,Handson training,IC Design,High,Both,Multi day,The goal of this course is to raise the level of UVM awareness and knowledge to the point where users have sufficient confidence to adopt to this verification methodology.
Hyperspectral Colony Counting for food safety testing,Technical training,Classroom,Life Science,Basic,Both,1 day,Learn how hyperspectral colony counting is applied in food safety testing.
Hybrid Materials and Technologies for Energy Storage Applications,Technical training,Classroom,Life Science,Intermediate,Both,Multi day,Learn about the materials and technolgies that enable current and future energy storage applications.
Life Science Challenges and silicon solutions,Technical training,Seminar,Life Science,Intermediate,External only,1 day,Learn about the current challenges in the field of life sciences and how silicon-based solutions can help to solve them.
Human-robot interactions,Technical training,Online training,Life Science,Basic,Both,1 hour,Learn about how real human-robot interactions are enabled.
